framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,64,1,1,2,1,0.02645866572856903
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,128,1,1,1,1,0.02146666745344798
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,32,1,1,4,1,0.025733334322770435
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,16,1,1,8,1,0.025360000630219776
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,8,1,1,16,1,0.02513066679239273
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,64,1,1,2,1,0.026101333399613697
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,128,1,1,1,1,0.021642667551835377
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,32,1,1,4,1,0.025781333446502686
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,16,1,1,8,1,0.025008000433444977
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,2,1,1,64,1,0.024885334074497223
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,1,1,1,128,1,0.025008000433444977
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,4,1,1,32,1,0.02499199906984965
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,8,1,1,16,1,0.02491733431816101
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,4,1,1,32,1,0.024714666108290356
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,2,1,1,64,1,0.02489600082238515
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,128,1,1,1,3,0.02165866643190384
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,64,1,1,2,3,0.02629333237806956
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,1,1,1,128,1,0.02474133421977361
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,32,1,1,4,3,0.025642665723959606
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,16,1,1,8,3,0.025194667279720306
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,8,1,1,16,3,0.0249439999461174
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,4,1,1,32,3,0.025807999074459076
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,2,1,1,64,3,0.025621332228183746
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,1,1,1,128,3,0.02566933383544286
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,128,1,1,1,3,0.02143466720978419
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,32,1,1,4,3,0.02536533276240031
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,64,1,1,2,3,0.027077332139015198
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,8,1,1,16,3,0.025546667476495106
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,16,1,1,8,3,0.025594666600227356
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,4,1,1,32,3,0.025253333151340485
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,2,1,1,64,3,0.025477332373460133
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,64,1,1,2,7,0.027269333600997925
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,1,1,1,128,3,0.02526933451493581
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,32,1,1,4,7,0.0264533335963885
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,128,1,1,1,7,0.022261333962281544
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,16,1,1,8,7,0.02603733291228612
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,8,1,1,16,7,0.025610665480295818
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,1,1,1,128,7,0.025360000630219776
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,2,1,1,64,7,0.02513066679239273
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,4,1,1,32,7,0.02532800038655599
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,64,1,1,2,7,0.02608533451954524
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,128,1,1,1,7,3.7694241205851235
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,32,1,1,4,7,0.02588266630967458
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,16,1,1,8,7,0.02532266577084859
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,8,1,1,16,7,0.025125332176685333
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,4,1,1,32,7,0.02480533222357432
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,2,1,1,64,7,0.02499199906984965
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,1,1,1,128,7,0.02479466547568639
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,128,1,1,1,15,0.021536000072956085
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,64,1,1,2,15,0.026399999856948853
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,32,1,1,4,15,0.02554133286078771
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,4,1,1,32,15,0.024821333587169647
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,16,1,1,8,15,0.025360000630219776
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,8,1,1,16,15,0.024821333587169647
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,1,1,1,128,15,0.025018667181332905
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,float16,2,1,1,64,15,0.024821333587169647
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,128,1,1,1,15,0.021173333128293354
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,16,1,1,8,15,0.02475733309984207
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,64,1,1,2,15,0.02603733291228612
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,32,1,1,4,15,0.025199999411900837
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_generation,default,float16,fp8,4,1,1,32,15,0.024501333634058636
