framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,1,0.02382933348417282
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,1,0.02422933280467987
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,3,0.023733332753181458
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,3,0.024271999796231587
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,7,0.02478400121132533
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,7,0.025221332907676697
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,15,0.025477332373460133
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,15,0.025962665677070618
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,31,0.03182933231194814
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,31,0.03224000086386999
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,63,0.032085334261258446
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,63,0.032618666688601174
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,127,0.033088001112143196
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,127,0.032816000282764435
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,255,0.04472533365090688
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,255,0.0397119993964831
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,511,0.06781333188215892
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,511,0.06477866570154826
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,1023,0.13623467087745667
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,1023,0.10700266559918721
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,2047,0.2588160037994385
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,2047,0.2063466707865397
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,float16,4095,0.4979519844055176
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,32,1,64,64,64,0,1,float16,fp8,4095,0.3920053243637085
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,1,1,64,64,64,0,1,float16,float16,1,0.007807999849319458
TRTLLM,1.2.0rc5,NVIDIA GH200,generation_attention,torch_flow,1,1,64,64,64,0,1,float16,fp8,1,0.009029333169261614
